Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Name
8.3,6.7,35.2,2.5,3.5,Celtis australis
6.4,4.4,14.9,1.9,6.8,Tilia cordata
7.5,6.0,28.3,2.3,2.6,Carpinus betulus
12.0,9.0,63.6,3.6,72.5,Aesculus hippocastanum
12.0,8.0,50.3,3.6,17.5,Carpinus betulus
4.0,2.5,4.9,1.2,3.0,Tilia cordata
2.5,1.0,0.8,0.8,1.8,Tilia cordata
6.0,5.0,19.6,1.8,16.2,Carpinus betulus
12.0,8.0,50.3,3.6,11.7,Carpinus betulus
8.0,8.0,50.3,2.4,10.1,Platanus x hispanica
9.0,7.0,38.5,2.7,3.9,Celtis australis
10.0,8.0,50.3,3.0,11.7,Platanus x hispanica
8.0,6.0,28.3,2.4,25.5,Aesculus hippocastanum
16.0,21.0,346.4,4.8,97.2,Platanus x hispanica
10.0,9.0,63.6,3.0,3.1,Celtis australis
3.0,5.0,19.6,0.9,6.5,Platanus x hispanica
24.0,19.0,283.5,7.2,80.2,Platanus x hispanica
5.0,2.5,4.9,1.5,3.4,Tilia cordata
3.0,2.0,3.1,0.9,5.0,Carpinus betulus
3.0,1.0,0.8,0.9,3.0,Tilia cordata
10.0,6.0,28.3,3.0,9.2,Carpinus betulus
4.5,2.5,4.9,1.3,4.5,Carpinus betulus
4.5,3.0,7.1,1.3,3.5,Platanus x hispanica
12.0,8.0,50.3,3.6,36.1,Aesculus hippocastanum
8.0,2.0,3.1,2.4,4.5,Carpinus betulus
10.0,10.0,78.5,3.0,23.9,Aesculus hippocastanum
4.0,3.0,7.1,1.2,4.1,Platanus x hispanica
8.0,11.0,95.0,2.4,4.7,Celtis australis
5.0,3.0,7.1,1.5,5.9,Platanus x hispanica
8.0,4.0,12.6,2.4,10.5,Carpinus betulus
6.0,6.0,28.3,1.8,3.9,Celtis australis
4.0,2.0,3.1,1.2,2.6,Tilia cordata
4.0,2.0,3.1,1.2,9.2,Carpinus betulus
5.0,6.0,28.3,1.5,3.4,Celtis australis
10.0,6.0,28.3,3.0,20.4,Aesculus hippocastanum
5.0,2.5,4.9,1.5,4.1,Platanus x hispanica
8.4,6.0,28.3,2.5,21.0,Aesculus hippocastanum
5.0,4.0,12.6,1.5,8.4,Aesculus hippocastanum
4.0,2.0,3.1,1.2,2.2,Tilia cordata
4.0,2.0,3.1,1.2,1.6,Celtis australis
6.2,3.6,10.1,1.9,8.6,Carpinus betulus
8.0,8.0,50.3,2.4,2.8,Celtis australis
10.0,7.0,38.5,3.0,44.6,Aesculus hippocastanum
15.0,3.0,7.1,4.5,4.5,Carpinus betulus
8.0,6.0,28.3,2.4,3.1,Celtis australis
13.0,12.0,113.1,3.9,5.2,Celtis australis
4.5,2.0,3.1,1.3,4.0,Carpinus betulus
13.0,7.0,38.5,3.9,21.6,Aesculus hippocastanum
5.0,1.0,0.8,1.5,2.1,Celtis australis
11.0,9.0,63.6,3.3,14.3,Platanus x hispanica
