Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Name
10.0,4.0,12.6,3.0,Diospyros kaki
4.0,2.0,3.1,1.2,Fraxinus
5.0,2.0,3.1,1.5,Fraxinus
6.0,3.0,7.1,1.8,Fraxinus ornus
8.0,3.0,7.1,2.4,Fraxinus americana
4.0,2.0,3.1,1.2,Fraxinus americana
6.0,2.0,3.1,1.8,Fraxinus americana
8.0,3.0,7.1,2.4,Fraxinus americana
8.0,3.0,7.1,2.4,Fraxinus americana
5.0,2.0,3.1,1.5,Fraxinus americana
8.0,3.0,7.1,2.4,Fraxinus americana
8.0,3.0,7.1,2.4,Fraxinus americana
6.0,3.0,7.1,1.8,Fraxinus americana
8.0,3.0,7.1,2.4,Fraxinus americana
6.0,3.0,7.1,1.8,Fraxinus americana
6.0,3.0,7.1,1.8,Fraxinus americana
8.0,3.0,7.1,2.4,Fraxinus americana
6.0,3.0,7.1,1.8,Fraxinus americana
8.0,3.0,7.1,2.4,Fraxinus americana
8.0,3.0,7.1,2.4,Fraxinus americana
8.0,3.0,7.1,2.4,Fraxinus americana
6.0,3.0,7.1,1.8,Fraxinus americana
8.0,3.0,7.1,2.4,Fraxinus americana
6.0,3.0,7.1,1.8,Fraxinus americana
6.7,3.0,7.1,2.0,Fraxinus ornus
6.0,4.0,12.6,1.8,Fraxinus excelsior
5.0,1.5,1.8,1.5,Fraxinus excelsior
5.0,1.5,1.8,1.5,Fraxinus excelsior
5.0,1.5,1.8,1.5,Fraxinus excelsior
5.0,1.5,1.8,1.5,Fraxinus excelsior
5.0,1.5,1.8,1.5,Fraxinus excelsior
5.0,1.5,1.8,1.5,Fraxinus excelsior
4.0,4.0,12.6,1.2,Malus sylvestris
4.0,3.0,7.1,1.2,Malus sylvestris
4.0,3.0,7.1,1.2,Morus nigra
4.0,3.0,7.1,1.2,Morus nigra
4.0,3.0,7.1,1.2,Morus nigra
4.0,3.0,7.1,1.2,Morus nigra
4.0,4.0,12.6,1.2,Morus nigra
12.0,5.0,19.6,3.6,Populus nigra
18.0,3.0,7.1,5.4,Populus nigra
18.0,3.0,7.1,5.4,Populus nigra
14.0,4.0,12.6,4.2,Populus nigra
20.0,4.0,12.6,6.0,Populus nigra
20.0,4.0,12.6,6.0,Populus nigra
20.0,4.0,12.6,6.0,Populus nigra
20.0,4.0,12.6,6.0,Populus nigra
20.0,4.0,12.6,6.0,Populus nigra
20.0,4.0,12.6,6.0,Populus nigra
20.0,4.0,12.6,6.0,Populus nigra
4.0,3.0,7.1,1.2,Prunus domestica
8.0,3.0,7.1,2.4,Prunus
8.0,3.0,7.1,2.4,Prunus
6.0,4.0,12.6,1.8,Prunus avium
6.0,4.0,12.6,1.8,Prunus avium
5.0,4.0,12.6,1.5,Prunus avium
4.0,4.0,12.6,1.2,Prunus avium
5.0,4.0,12.6,1.5,Prunus avium
4.0,3.0,7.1,1.2,Prunus domestica
5.0,4.0,12.6,1.5,Prunus avium
5.0,4.0,12.6,1.5,Prunus avium
12.0,3.0,7.1,3.6,Prunus avium
12.0,3.0,7.1,3.6,Prunus avium
3.5,3.0,7.1,1.0,Prunus avium
5.0,4.0,12.6,1.5,Prunus avium
6.0,3.0,7.1,1.8,Prunus avium
6.0,3.0,7.1,1.8,Prunus avium
6.0,3.0,7.1,1.8,Prunus avium
6.0,3.0,7.1,1.8,Prunus domestica
5.0,4.0,12.6,1.5,Prunus avium
5.0,4.0,12.6,1.5,Prunus avium
5.0,4.0,12.6,1.5,Prunus avium
6.0,3.0,7.1,1.8,Prunus domestica
8.0,3.0,7.1,2.4,Prunus avium
6.0,3.0,7.1,1.8,Prunus avium
8.0,4.0,12.6,2.4,Prunus avium
2.5,2.0,3.1,0.8,Quercus robur
15.0,4.0,12.6,4.5,Quercus robur
10.0,3.0,7.1,3.0,Robinia pseudoacacia
10.0,3.0,7.1,3.0,Robinia pseudoacacia
10.0,3.0,7.1,3.0,Robinia pseudoacacia
14.0,3.0,7.1,4.2,Robinia pseudoacacia
14.0,3.0,7.1,4.2,Robinia pseudoacacia
10.0,3.0,7.1,3.0,Robinia pseudoacacia
10.0,3.0,7.1,3.0,Robinia pseudoacacia
18.0,3.0,7.1,5.4,Robinia pseudoacacia
6.0,6.0,28.3,1.8,Sophora japonica
5.0,3.5,9.6,1.5,Sophora japonica
4.0,2.5,4.9,1.2,Sophora japonica
5.0,3.0,7.1,1.5,Sophora japonica
5.0,3.5,9.6,1.5,Sophora japonica
5.0,3.5,9.6,1.5,Sophora japonica
5.0,3.5,9.6,1.5,Sophora japonica
5.0,3.5,9.6,1.5,Sophora japonica
5.0,3.5,9.6,1.5,Sophora japonica
5.0,4.0,12.6,1.5,Sophora japonica
4.0,3.0,7.1,1.2,Sophora japonica
4.0,3.0,7.1,1.2,Sophora japonica
4.0,3.0,7.1,1.2,Sophora japonica
4.0,2.0,3.1,1.2,Tilia tomentosa
4.0,2.0,3.1,1.2,Tilia tomentosa
4.0,2.0,3.1,1.2,Tilia tomentosa
5.0,2.5,4.9,1.5,Tilia x europaea
5.0,2.5,4.9,1.5,Tilia x europaea
5.0,2.5,4.9,1.5,Tilia x europaea
5.0,2.5,4.9,1.5,Tilia x europaea
5.0,2.5,4.9,1.5,Tilia x europaea
5.0,2.5,4.9,1.5,Tilia x europaea
6.0,6.0,28.3,1.8,Tilia x europaea
5.0,2.0,3.1,1.5,Tilia x europaea
8.0,8.0,50.3,2.4,Tilia x europaea
8.0,8.0,50.3,2.4,Tilia x europaea
8.0,8.0,50.3,2.4,Tilia x europaea
12.0,5.6,24.3,3.6,Tilia x europaea
12.0,5.6,24.3,3.6,Tilia x europaea
12.0,5.6,24.3,3.6,Tilia x europaea
12.0,5.6,24.3,3.6,Tilia x europaea
12.0,5.6,24.3,3.6,Tilia x europaea
12.0,5.6,24.3,3.6,Tilia x europaea
12.0,5.6,24.3,3.6,Tilia x europaea
12.0,5.6,24.3,3.6,Tilia x europaea
12.0,5.6,24.3,3.6,Tilia x europaea
12.0,5.6,24.3,3.6,Tilia x europaea
12.0,5.6,24.3,3.6,Tilia x europaea
5.0,3.0,7.1,1.5,Tilia x europaea
12.0,3.0,7.1,3.6,Tilia x europaea
20.0,4.0,12.6,6.0,Tilia x europaea
10.0,3.0,7.1,3.0,Tilia x europaea
10.0,3.0,7.1,3.0,Tilia x europaea
6.0,3.0,7.1,1.8,Ulmus
5.0,3.0,7.1,1.5,Pyrus communis
4.0,4.0,12.6,1.2,Pyrus communis
4.0,3.0,7.1,1.2,Pyrus communis
8.0,8.0,50.3,2.4,Celtis australis
10.0,10.0,78.5,3.0,Betula pendula
8.0,8.0,50.3,2.4,Betula pendula
6.0,8.0,50.3,1.8,Magnolia x soulangeana
6.0,5.0,19.6,1.8,Parrotia persica
5.5,5.0,19.6,1.7,Parrotia persica
6.0,6.0,28.3,1.8,Parrotia persica
4.5,2.5,4.9,1.3,Carpinus betulus
4.5,2.5,4.9,1.3,Carpinus betulus
5.0,2.0,3.1,1.5,Carpinus betulus
5.0,3.0,7.1,1.5,Carpinus betulus
5.0,2.0,3.1,1.5,Carpinus betulus
4.0,1.5,1.8,1.2,Tilia cordata
4.0,1.0,0.8,1.2,Tilia cordata
6.0,4.0,12.6,1.8,Tilia cordata
11.0,10.0,78.5,3.3,Platanus x hispanica
4.0,2.5,4.9,1.2,Carpinus betulus
4.5,3.0,7.1,1.3,Carpinus betulus
4.5,2.0,3.1,1.3,Carpinus betulus
4.0,3.0,7.1,1.2,Tilia cordata
1.0,0.5,0.2,0.3,Tilia cordata
6.0,6.0,28.3,1.8,Tilia cordata
5.0,1.5,1.8,1.5,Tilia cordata
6.0,6.0,28.3,1.8,Tilia cordata
4.5,1.0,0.8,1.3,Tilia cordata
4.0,1.0,0.8,1.2,Tilia cordata
4.5,1.0,0.8,1.3,Tilia cordata
4.0,4.0,12.6,1.2,Tilia cordata
5.0,4.0,12.6,1.5,Tilia cordata
5.0,4.0,12.6,1.5,Tilia cordata
4.0,1.0,0.8,1.2,Tilia cordata
4.5,4.0,12.6,1.3,Tilia cordata
4.0,1.5,1.8,1.2,Tilia cordata
5.0,4.0,12.6,1.5,Tilia cordata
4.0,1.5,1.8,1.2,Tilia cordata
6.0,4.0,12.6,1.8,Tilia cordata
4.0,1.0,0.8,1.2,Tilia cordata
4.0,1.0,0.8,1.2,Tilia cordata
4.0,3.0,7.1,1.2,Tilia cordata
5.0,3.0,7.1,1.5,Tilia cordata
4.5,4.0,12.6,1.3,Tilia cordata
4.0,1.0,0.8,1.2,Tilia cordata
4.0,1.0,0.8,1.2,Tilia cordata
4.0,1.0,0.8,1.2,Tilia cordata
4.0,3.0,7.1,1.2,Tilia cordata
4.5,4.0,12.6,1.3,Tilia cordata
4.0,1.0,0.8,1.2,Tilia cordata
4.0,1.0,0.8,1.2,Tilia cordata
4.0,1.0,0.8,1.2,Tilia cordata
3.0,1.0,0.8,0.9,Tilia cordata
4.0,1.0,0.8,1.2,Tilia cordata
5.0,4.0,12.6,1.5,Tilia cordata
4.0,1.5,1.8,1.2,Tilia cordata
5.0,5.0,19.6,1.5,Tilia cordata
6.0,5.0,19.6,1.8,Tilia platyphyllos
6.0,5.0,19.6,1.8,Tilia platyphyllos
6.0,5.0,19.6,1.8,Tilia platyphyllos
6.5,5.0,19.6,1.9,Tilia platyphyllos
6.5,5.0,19.6,1.9,Tilia platyphyllos
4.0,3.0,7.1,1.2,Tilia platyphyllos
6.0,5.0,19.6,1.8,Tilia platyphyllos
4.5,4.0,12.6,1.3,Tilia platyphyllos
6.0,6.0,28.3,1.8,Prunus serrulata
7.0,2.0,3.1,2.1,Platanus x hispanica
6.0,2.0,3.1,1.8,Platanus x hispanica
7.0,2.0,3.1,2.1,Platanus x hispanica
8.0,2.0,3.1,2.4,Platanus x hispanica
6.0,3.0,7.1,1.8,Platanus x hispanica
6.0,3.0,7.1,1.8,Platanus x hispanica
3.0,1.5,1.8,0.9,Acer pseudoplatanus
7.0,8.0,50.3,2.1,Acer pseudoplatanus
7.0,4.0,12.6,2.1,Acer pseudoplatanus
8.0,6.0,28.3,2.4,Acer pseudoplatanus
8.0,1.0,0.8,2.4,Cupressus sempervirens
