Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Gross Carbon Sequestration (kg/yr)
Aesculus hippocastanum,12.0,8.0,50.3,3.6,9.8
Aesculus hippocastanum,8.0,4.0,12.6,2.4,7.9
Aesculus hippocastanum,6.0,4.0,12.6,1.8,3.4
Aesculus hippocastanum,6.0,4.0,12.6,1.8,4.7
Aesculus hippocastanum,8.0,6.0,28.3,2.4,6.3
Aesculus hippocastanum,11.0,6.0,28.3,3.3,11.6
Aesculus hippocastanum,12.0,6.0,28.3,3.6,13.6
Aesculus hippocastanum,12.0,8.0,50.3,3.6,27.2
Aesculus hippocastanum,7.0,6.0,28.3,2.1,13.2
Aesculus hippocastanum,7.0,4.0,12.6,2.1,7.8
Aesculus hippocastanum,8.0,7.0,38.5,2.4,13.3
Aesculus hippocastanum,9.0,7.0,38.5,2.7,11.4
Aesculus hippocastanum,10.0,5.0,19.6,3.0,11.5
Aesculus hippocastanum,6.0,7.0,38.5,1.8,6.2
Aesculus hippocastanum,12.0,10.0,78.5,3.6,15.6
Aesculus hippocastanum,12.0,8.0,50.3,3.6,17.7
Aesculus hippocastanum,8.0,6.0,28.3,2.4,5.7
Aesculus hippocastanum,8.0,6.0,28.3,2.4,9.6
Aesculus hippocastanum,9.5,7.0,38.5,2.8,4.6
Aesculus hippocastanum,10.0,6.0,28.3,3.0,5.2
Aesculus hippocastanum,9.0,5.0,19.6,2.7,6.0
Aesculus hippocastanum,10.0,7.0,38.5,3.0,4.9
Aesculus hippocastanum,9.5,7.0,38.5,2.8,5.2
Aesculus hippocastanum,12.0,9.0,63.6,3.6,13.6
Aesculus hippocastanum,9.0,6.0,28.3,2.7,6.9
Aesculus hippocastanum,22.0,20.0,314.2,6.6,25.5
Aesculus hippocastanum,8.4,6.4,32.7,2.5,9.4
Aesculus hippocastanum,8.4,6.4,32.7,2.5,9.4
Aesculus hippocastanum,8.4,6.0,28.3,2.5,1.4
Aesculus hippocastanum,8.4,6.4,32.7,2.5,9.4
Aesculus hippocastanum,8.4,6.4,32.7,2.5,9.4
Aesculus hippocastanum,8.4,6.4,32.7,2.5,9.4
Aesculus hippocastanum,8.4,6.4,32.7,2.5,9.4
Aesculus hippocastanum,8.4,6.4,32.7,2.5,9.4
Aesculus hippocastanum,8.4,6.4,32.7,2.5,9.4
Aesculus hippocastanum,10.0,8.0,50.3,3.0,4.1
Aesculus hippocastanum,10.0,10.0,78.5,3.0,13.4
Aesculus hippocastanum,10.0,10.0,78.5,3.0,13.4
Aesculus hippocastanum,10.0,8.0,50.3,3.0,17.6
Aesculus hippocastanum,6.0,3.0,7.1,1.8,3.0
Aesculus hippocastanum,8.4,6.4,32.7,2.5,9.4
Aesculus hippocastanum,10.0,6.0,28.3,3.0,9.0
Aesculus hippocastanum,8.4,6.0,28.3,2.5,3.5
Aesculus hippocastanum,8.4,6.0,28.3,2.5,7.9
Aesculus hippocastanum,9.0,6.0,28.3,2.7,11.4
Aesculus hippocastanum,12.0,8.0,50.3,3.6,22.3
Aesculus hippocastanum,12.0,8.0,50.3,3.6,17.7
Aesculus hippocastanum,9.0,8.0,50.3,2.7,13.4
Aesculus hippocastanum,14.0,8.0,50.3,4.2,27.4
Aesculus hippocastanum,6.0,6.0,28.3,1.8,6.2
Aesculus hippocastanum,12.0,5.0,19.6,3.6,9.8
Aesculus hippocastanum,8.0,7.0,38.5,2.4,13.3
Aesculus hippocastanum,7.0,4.0,12.6,2.1,7.8
Aesculus hippocastanum,8.0,4.0,12.6,2.4,9.6
Aesculus hippocastanum,8.4,6.0,28.3,2.5,3.5
Aesculus hippocastanum,8.0,2.0,3.1,2.4,4.8
Aesculus hippocastanum,6.0,4.0,12.6,1.8,5.6
Aesculus hippocastanum,5.0,3.0,7.1,1.5,4.7
Aesculus hippocastanum,13.0,9.0,63.6,3.9,28.3
Aesculus hippocastanum,12.0,12.0,113.1,3.6,25.2
