Neighborhood,Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Count
S.GIUSEPPE-S.CHIARA,Other,4,1,0.8,1.2,2.4,1
GARDOLO,Platanus x hispanica,3,9.6,72.5,0.9,2.5,1
VILLAZZANO,Other,9,4,12.6,2.7,20.4,1
CENTRO STORICO PIEDICASTELLO,Other,8,7,38.5,2.4,41.9,1
S.GIUSEPPE-S.CHIARA,Other,5,9,63.6,1.5,16,1
CENTRO STORICO PIEDICASTELLO,Other,18,9,63.6,5.4,13.6,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,10,7,38.5,3,59,1
CENTRO STORICO PIEDICASTELLO,Other,4,1,0.8,1.2,2.1,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,5,4,12.6,1.5,7.8,4
S.GIUSEPPE-S.CHIARA,Other,8,8,50.3,2.4,10.1,1
CENTRO STORICO PIEDICASTELLO,Other,6,4,12.6,1.8,3.2,1
GARDOLO,Other,4,1,0.8,1.2,7.4,1
OLTREFERSINA,Other,4.5,8,50.3,1.3,17,1
VILLAZZANO,Other,10,9,63.6,3,19.9,1
S.GIUSEPPE-S.CHIARA,Other,14,10,78.5,4.2,3.1,1
CENTRO STORICO PIEDICASTELLO,Tilia cordata,6,5,19.6,1.8,7,2
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,11,8.5,56.7,3.3,23.8,1
S.GIUSEPPE-S.CHIARA,Other,5,2,3.1,1.5,1.6,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,14,11.5,103.9,4.2,5.3,1
OLTREFERSINA,Other,4,1.5,1.8,1.2,3.5,1
OLTREFERSINA,Other,3.5,2,3.1,1,1.7,1
GARDOLO,Platanus x hispanica,6.5,5,19.6,1.9,7.9,1
OLTREFERSINA,Other,8,7,38.5,2.4,19.1,3
S.GIUSEPPE-S.CHIARA,Carpinus betulus,10,7,38.5,3,17.9,2
GARDOLO,Other,5,3,7.1,1.5,13.1,1
S.GIUSEPPE-S.CHIARA,Other,14,4,12.6,4.2,11.2,1
OLTREFERSINA,Other,5,4,12.6,1.5,3.4,1
CENTRO STORICO PIEDICASTELLO,Other,3,6,28.3,0.9,11.2,2
S.GIUSEPPE-S.CHIARA,Other,12,8,50.3,3.6,10.1,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,10,7,38.5,3,30.3,1
GARDOLO,Other,4,2,3.1,1.2,6.3,2
OLTREFERSINA,Tilia cordata,8,7,38.5,2.4,6.5,1
S.GIUSEPPE-S.CHIARA,Carpinus betulus,6.2,3.6,10.1,1.9,8.6,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,8.4,6,28.3,2.5,21,1
S.GIUSEPPE-S.CHIARA,Other,12,6,28.3,3.6,14,1
OLTREFERSINA,Other,22,18,254.5,6.6,97.2,1
RAVINA-ROMAGNANO,Tilia cordata,8,4,12.6,2.4,6.5,2
VILLAZZANO,Celtis australis,18,5,19.6,5.4,3.1,1
S.GIUSEPPE-S.CHIARA,Other,14,10,78.5,4.2,27.2,1
S.GIUSEPPE-S.CHIARA,Other,7,5,19.6,2.1,14.3,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,4.5,3,7.1,1.3,3.5,1
GARDOLO,Other,6,5,19.6,1.8,5.4,1
