Neighborhood,Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Count
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,5,1.5,1.8,1.5,3,1
GARDOLO,Carpinus betulus,5,3,7.1,1.5,4.5,3
CENTRO STORICO PIEDICASTELLO,Other,11,9,63.6,3.3,14.1,1
OLTREFERSINA,Other,10.3,6.6,34.3,3.1,17.1,4
CENTRO STORICO PIEDICASTELLO,Celtis australis,15,13,132.7,4.5,5,1
S.GIUSEPPE-S.CHIARA,Other,13,8,50.3,3.9,10.9,1
S.GIUSEPPE-S.CHIARA,Other,12.4,8.800000000000001,60.3,3.7,69.09999999999999,1
CENTRO STORICO PIEDICASTELLO,Other,20,13,132.7,6,90.8,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,4.5,3,7.1,1.3,4.1,1
S.GIUSEPPE-S.CHIARA,Other,10,8,50.3,3,17.8,1
S.GIUSEPPE-S.CHIARA,Carpinus betulus,6,4,12.6,1.8,5.6,1
S.GIUSEPPE-S.CHIARA,Carpinus betulus,4,2,3.1,1.2,3.5,1
S.GIUSEPPE-S.CHIARA,Other,23,9,63.6,6.9,38.8,1
S.GIUSEPPE-S.CHIARA,Other,10,4,12.6,3,15.1,1
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,11,10,78.5,3.3,47.1,2
CENTRO STORICO PIEDICASTELLO,Other,8,7,38.5,2.4,13.1,2
S.GIUSEPPE-S.CHIARA,Other,8,6,28.3,2.4,9.699999999999999,1
S.GIUSEPPE-S.CHIARA,Other,4.5,2.5,4.9,1.3,4.9,1
OLTREFERSINA,Other,4.5,3,7.1,1.3,10.8,1
GARDOLO,Other,4,5,19.6,1.2,17.8,1
S.GIUSEPPE-S.CHIARA,Other,10,8,50.3,3,20.8,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,11,9,63.6,3.3,25.9,1
S.GIUSEPPE-S.CHIARA,Other,6,4,12.6,1.8,38.8,1
S.GIUSEPPE-S.CHIARA,Carpinus betulus,7,5,19.6,2.1,9.199999999999999,1
S.GIUSEPPE-S.CHIARA,Other,20,14,153.9,6,97.3,1
RAVINA-ROMAGNANO,Other,6,7,38.5,1.8,21,1
S.GIUSEPPE-S.CHIARA,Carpinus betulus,3,2,3.1,0.9,7.9,1
MEANO,Other,5,4,12.6,1.5,2.8,1
S.GIUSEPPE-S.CHIARA,Other,9,8,50.3,2.7,35.8,1
CENTRO STORICO PIEDICASTELLO,Other,8,8,50.3,2.4,4.7,1
CENTRO STORICO PIEDICASTELLO,Other,8,6,28.3,2.4,5.5,1
CENTRO STORICO PIEDICASTELLO,Other,8,4,12.6,2.4,20,1
RAVINA-ROMAGNANO,Other,6,2,3.1,1.8,9.4,1
CENTRO STORICO PIEDICASTELLO,Other,6,2,3.1,1.8,3.1,1
OLTREFERSINA,Other,18,11,95,5.4,42.7,1
POVO,Other,8.6,2.3,4.3,2.6,31,11
OLTREFERSINA,Other,3,2,3.1,0.9,2.3,1
GARDOLO,Other,4,2.5,4.9,1.2,2.2,1
OLTREFERSINA,Other,3.5,2,3.1,1,2.9,2
GARDOLO,Other,6,5,19.6,1.8,17.2,1
S.GIUSEPPE-S.CHIARA,Other,6,3,7.1,1.8,4.6,2
CENTRO STORICO PIEDICASTELLO,Other,3.5,1.5,1.8,1,1.3,1
S.GIUSEPPE-S.CHIARA,Other,3.5,2,3.1,1,2.7,1
GARDOLO,Other,4,3,7.1,1.2,3.5,4
OLTREFERSINA,Other,6,4,12.6,1.8,6,1
VILLAZZANO,Other,8.6,2.3,4.3,2.6,31,25
OLTREFERSINA,Aesculus hippocastanum,7.5,4,12.6,2.3,8,1
S.GIUSEPPE-S.CHIARA,Other,16,14,153.9,4.8,40.9,1
S.GIUSEPPE-S.CHIARA,Other,14,15,176.7,4.2,52.8,1
OLTREFERSINA,Other,7,5,19.6,2.1,45.1,4
GARDOLO,Other,4,4,12.6,1.2,2.1,1
CENTRO STORICO PIEDICASTELLO,Other,6,6,28.3,1.8,23,1
CENTRO STORICO PIEDICASTELLO,Other,12,4,12.6,3.6,10.2,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,3,1,0.8,0.9,1.4,1
CENTRO STORICO PIEDICASTELLO,Other,10,3,7.1,3,11.9,1
S.GIUSEPPE-S.CHIARA,Other,6,4,12.6,1.8,7.6,1
S.GIUSEPPE-S.CHIARA,Other,8,12,113.1,2.4,30.4,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,4.5,3.5,9.6,1.3,7.8,3
BONDONE,Other,15,9,63.6,4.5,39,1
CENTRO STORICO PIEDICASTELLO,Other,13,7,38.5,3.9,49.9,1
S.GIUSEPPE-S.CHIARA,Carpinus betulus,8,8,50.3,2.4,14.8,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,13,7,38.5,3.9,21.6,1
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,21,15,176.7,6.3,58.8,1
OLTREFERSINA,Other,3,2,3.1,0.9,5.4,1
MEANO,Other,6,2,3.1,1.8,3.5,2
CENTRO STORICO PIEDICASTELLO,Other,9,7,38.5,2.7,0.2,1
CENTRO STORICO PIEDICASTELLO,Other,20,15,176.7,6,27.1,1
CENTRO STORICO PIEDICASTELLO,Other,6,5,19.6,1.8,8,1
OLTREFERSINA,Other,8,3.5,9.6,2.4,6.1,1
CENTRO STORICO PIEDICASTELLO,Other,6,4,12.6,1.8,6.2,2
ARGENTARIO,Other,5,5,19.6,1.5,17.9,2
OLTREFERSINA,Other,6,1,0.8,1.8,5.1,2
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,12,12,113.1,3.6,28,1
CENTRO STORICO PIEDICASTELLO,Other,6,4,12.6,1.8,7.6,1
OLTREFERSINA,Other,3.5,0.5,0.2,1,1,2
CENTRO STORICO PIEDICASTELLO,Other,4,4,12.6,1.2,12.5,1
S.GIUSEPPE-S.CHIARA,Other,6,3,7.1,1.8,2.8,1
CENTRO STORICO PIEDICASTELLO,Other,1.8,5.3,21.7,0.5,28.4,1
GARDOLO,Carpinus betulus,5,3,7.1,1.5,5,1
GARDOLO,Other,4.5,5,19.6,1.3,3.7,1
GARDOLO,Tilia cordata,14,12,113.1,4.2,24.6,1
CENTRO STORICO PIEDICASTELLO,Other,6,3,7.1,1.8,8.6,1
CENTRO STORICO PIEDICASTELLO,Other,9,5,19.6,2.7,14.2,1
MEANO,Other,5,5,19.6,1.5,36.7,1
CENTRO STORICO PIEDICASTELLO,Other,4.5,3,7.1,1.3,3.1,1
OLTREFERSINA,Carpinus betulus,14,4,12.6,4.2,9.199999999999999,1
S.GIUSEPPE-S.CHIARA,Other,25,8,50.3,7.5,54.3,1
CENTRO STORICO PIEDICASTELLO,Other,6,2.5,4.9,1.8,7.1,1
CENTRO STORICO PIEDICASTELLO,Other,4,2,3.1,1.2,3.3,3
OLTREFERSINA,Other,5,4,12.6,1.5,10.8,3
CENTRO STORICO PIEDICASTELLO,Other,9,8,50.3,2.7,16.9,1
MATTARELLO,Other,15,8,50.3,4.5,73.3,7
CENTRO STORICO PIEDICASTELLO,Other,7,3,7.1,2.1,6.7,1
OLTREFERSINA,Other,9,9,63.6,2.7,24.1,1
OLTREFERSINA,Other,4,2,3.1,1.2,7.7,2
OLTREFERSINA,Celtis australis,20,4,12.6,6,3.5,1
OLTREFERSINA,Other,6,6,28.3,1.8,9.5,5
S.GIUSEPPE-S.CHIARA,Other,2,1,0.8,0.6,1.4,3
CENTRO STORICO PIEDICASTELLO,Other,2,1,0.8,0.6,1.9,1
CENTRO STORICO PIEDICASTELLO,Other,6,3,7.1,1.8,10.2,1
CENTRO STORICO PIEDICASTELLO,Other,5,4,12.6,1.5,13.3,1
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,11,11,95,3.3,59.3,1
OLTREFERSINA,Other,6,4,12.6,1.8,3.6,1
VILLAZZANO,Tilia cordata,4.5,2,3.1,1.3,2.2,1
POVO,Other,5,3,7.1,1.5,3.8,2
CENTRO STORICO PIEDICASTELLO,Other,11,7,38.5,3.3,12.8,1
VILLAZZANO,Other,6,4,12.6,1.8,7.5,1
VILLAZZANO,Other,4,1,0.8,1.2,15.8,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,13,12,113.1,3.9,5.1,1
S.GIUSEPPE-S.CHIARA,Other,7,6,28.3,2.1,15.1,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,8,5,19.6,2.4,8.699999999999999,1
GARDOLO,Celtis australis,5,3,7.1,1.5,1.7,7
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,4,2,3.1,1.2,4.1,1
OLTREFERSINA,Other,4,2.5,4.9,1.2,7.8,1
CENTRO STORICO PIEDICASTELLO,Other,6,3,7.1,1.8,1.5,1
CENTRO STORICO PIEDICASTELLO,Other,12,10,78.5,3.6,46.8,1
OLTREFERSINA,Other,3,3,7.1,0.9,8.699999999999999,1
OLTREFERSINA,Other,6,13,132.7,1.8,12.6,1
S.GIUSEPPE-S.CHIARA,Other,2,3,7.1,0.6,3.7,1
OLTREFERSINA,Other,22,16,201.1,6.6,75.40000000000001,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,3,3,7.1,0.9,10.5,1
CENTRO STORICO PIEDICASTELLO,Other,10,7,38.5,3,15,1
OLTREFERSINA,Carpinus betulus,7,3,7.1,2.1,6.1,4
BONDONE,Other,4,3,7.1,1.2,8.4,5
GARDOLO,Celtis australis,6,4,12.6,1.8,2.1,1
S.GIUSEPPE-S.CHIARA,Celtis australis,15,9,63.6,4.5,4.6,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,4,1.5,1.8,1.2,2.5,1
CENTRO STORICO PIEDICASTELLO,Other,13,5,19.6,3.9,16.2,1
S.GIUSEPPE-S.CHIARA,Other,13,10,78.5,3.9,24.5,2
S.GIUSEPPE-S.CHIARA,Other,3,2.5,4.9,0.9,5.6,1
S.GIUSEPPE-S.CHIARA,Other,4.5,3,7.1,1.3,6.1,1
OLTREFERSINA,Other,3,1,0.8,0.9,2.3,13
VILLAZZANO,Carpinus betulus,15,4,12.6,4.5,10.5,1
CENTRO STORICO PIEDICASTELLO,Other,6.3,4.1,13.2,1.9,7.1,2
CENTRO STORICO PIEDICASTELLO,Other,6,3.9,12,1.8,11,1
CENTRO STORICO PIEDICASTELLO,Other,15,10,78.5,4.5,21.6,1
CENTRO STORICO PIEDICASTELLO,Other,16,9,63.6,4.8,24.2,1
CENTRO STORICO PIEDICASTELLO,Other,4,2,3.1,1.2,2.8,14
GARDOLO,Other,6,8,50.3,1.8,23.9,1
OLTREFERSINA,Celtis australis,5,3,7.1,1.5,1.7,2
CENTRO STORICO PIEDICASTELLO,Other,9,15,176.7,2.7,29,1
CENTRO STORICO PIEDICASTELLO,Tilia cordata,6,4,12.6,1.8,5.1,2
OLTREFERSINA,Celtis australis,5,3,7.1,1.5,2.1,1
OLTREFERSINA,Other,6,4,12.6,1.8,10,1
S.GIUSEPPE-S.CHIARA,Other,3.5,1.5,1.8,1,3.2,2
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,6,7,38.5,1.8,16.5,1
RAVINA-ROMAGNANO,Other,6,3,7.1,1.8,23.1,1
CENTRO STORICO PIEDICASTELLO,Other,12,12,113.1,3.6,117.2,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,12,7,38.5,3.6,26.1,1
CENTRO STORICO PIEDICASTELLO,Other,10.8,5.4,22.6,3.2,24,1
S.GIUSEPPE-S.CHIARA,Other,4,5,19.6,1.2,5.9,1
S.GIUSEPPE-S.CHIARA,Tilia cordata,4,2.5,4.9,1.2,2.6,1
S.GIUSEPPE-S.CHIARA,Other,15,12,113.1,4.5,97.5,1
VILLAZZANO,Celtis australis,8,7,38.5,2.4,4.9,1
ARGENTARIO,Other,6,4,12.6,1.8,20.1,2
OLTREFERSINA,Other,7,8,50.3,2.1,15.6,1
OLTREFERSINA,Tilia cordata,8,6,28.3,2.4,7.5,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,7,9,63.6,2.1,3.4,1
OLTREFERSINA,Other,6,6,28.3,1.8,16.2,1
GARDOLO,Other,6,6,28.3,1.8,3.9,9
GARDOLO,Other,4,6,28.3,1.2,18.8,2
MEANO,Other,5,5,19.6,1.5,22.9,1
CENTRO STORICO PIEDICASTELLO,Other,12,14,153.9,3.6,32.2,1
GARDOLO,Other,6,6,28.3,1.8,3.8,1
VILLAZZANO,Other,13,8,50.3,3.9,11.3,1
S.GIUSEPPE-S.CHIARA,Other,2,1,0.8,0.6,1.2,3
OLTREFERSINA,Other,7,4.5,15.9,2.1,14.6,1
CENTRO STORICO PIEDICASTELLO,Other,7,4,12.6,2.1,13.7,1
CENTRO STORICO PIEDICASTELLO,Other,16,9,63.6,4.8,11.1,1
OLTREFERSINA,Celtis australis,6,4,12.6,1.8,2.6,2
CENTRO STORICO PIEDICASTELLO,Other,7,7,38.5,2.1,20.1,1
GARDOLO,Celtis australis,5,2.5,4.9,1.5,1.5,2
GARDOLO,Tilia cordata,4.5,4,12.6,1.3,4.2,1
GARDOLO,Other,4,1.5,1.8,1.2,0.7,2
OLTREFERSINA,Other,10,8,50.3,3,7.4,1
OLTREFERSINA,Other,16,12,113.1,4.8,45,1
GARDOLO,Platanus x hispanica,8,7,38.5,2.4,9.4,1
OLTREFERSINA,Other,1.5,5.3,21.7,0.5,36.8,1
OLTREFERSINA,Other,18.1,7.2,40.4,5.4,128.5,1
S.GIUSEPPE-S.CHIARA,Other,7,5,19.6,2.1,16,2
CENTRO STORICO PIEDICASTELLO,Other,18,8,50.3,5.4,81.09999999999999,1
OLTREFERSINA,Other,2,1,0.8,0.6,2.1,1
CENTRO STORICO PIEDICASTELLO,Other,10,11,95,3,39.4,1
RAVINA-ROMAGNANO,Tilia cordata,7,6,28.3,2.1,7,3
GARDOLO,Celtis australis,6,4,12.6,1.8,2,1
S.GIUSEPPE-S.CHIARA,Other,2,1,0.8,0.6,1.6,4
CENTRO STORICO PIEDICASTELLO,Other,15,12,113.1,4.5,27.9,1
OLTREFERSINA,Other,16,8,50.3,4.8,40.7,1
OLTREFERSINA,Other,10.4,6,28.2,3.1,7,1
GARDOLO,Tilia cordata,5,3,7.1,1.5,4.2,1
CENTRO STORICO PIEDICASTELLO,Other,11,6,28.3,3.3,42.2,1
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,10,14,153.9,3,46.9,1
CENTRO STORICO PIEDICASTELLO,Other,10,6,28.3,3,17.5,1
CENTRO STORICO PIEDICASTELLO,Other,4,1,0.8,1.2,3.3,1
VILLAZZANO,Carpinus betulus,15,4,12.6,4.5,14.1,1
CENTRO STORICO PIEDICASTELLO,Other,20,6.5,33.2,6,64.90000000000001,1
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,9,11,95,2.7,37.8,2
CENTRO STORICO PIEDICASTELLO,Other,18,12,113.1,5.4,23.2,1
RAVINA-ROMAGNANO,Other,13,6,28.3,3.9,46.1,1
RAVINA-ROMAGNANO,Other,4,4,12.6,1.2,7.9,4
CENTRO STORICO PIEDICASTELLO,Other,11,4,12.6,3.3,13.6,1
VILLAZZANO,Other,6,3,7.1,1.8,4.3,2
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,10,6,28.3,3,50.5,1
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,11,7,38.5,3.3,59.3,1
CENTRO STORICO PIEDICASTELLO,Other,9,7,38.5,2.7,6.5,1
S.GIUSEPPE-S.CHIARA,Other,4,2.5,4.9,1.2,4.5,1
S.GIUSEPPE-S.CHIARA,Other,4,2.5,4.9,1.2,2.6,6
S.GIUSEPPE-S.CHIARA,Platanus x hispanica,24,19,283.5,7.2,1.8,1
S.GIUSEPPE-S.CHIARA,Other,18,11,95,5.4,48.8,1
OLTREFERSINA,Other,8,5.3,21.7,2.4,23.9,1
VILLAZZANO,Carpinus betulus,4,1.5,1.8,1.2,3,1
GARDOLO,Platanus x hispanica,7,7,38.5,2.1,9.4,2
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,12.5,12,113.1,3.8,57.1,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,22,18,254.5,6.6,82.59999999999999,1
OLTREFERSINA,Other,17,6,28.3,5.1,34.7,1
GARDOLO,Other,9,4,12.6,2.7,24.7,1
S.GIUSEPPE-S.CHIARA,Other,4,2.5,4.9,1.2,9.699999999999999,1
CENTRO STORICO PIEDICASTELLO,Other,12,7,38.5,3.6,28.3,1
ARGENTARIO,Other,5,5,19.6,1.5,38.2,1
GARDOLO,Celtis australis,7,5,19.6,2.1,2.3,1
GARDOLO,Other,9,6,28.3,2.7,41.4,1
CENTRO STORICO PIEDICASTELLO,Other,24,15,176.7,7.2,97.2,1
CENTRO STORICO PIEDICASTELLO,Other,12,12,113.1,3.6,22.2,1
GARDOLO,Carpinus betulus,4.5,3,7.1,1.3,5.6,3
GARDOLO,Platanus x hispanica,17,12,113.1,5.1,48.2,1
S.GIUSEPPE-S.CHIARA,Other,3,4.5,15.9,0.9,7.7,1
S.GIUSEPPE-S.CHIARA,Other,2.5,1,0.8,0.8,2.6,1
ARGENTARIO,Other,6,4,12.6,1.8,24.7,1
OLTREFERSINA,Celtis australis,13,10,78.5,3.9,5.1,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,8,12,113.1,2.4,5.1,1
S.GIUSEPPE-S.CHIARA,Other,4,4,12.6,1.2,1.4,1
GARDOLO,Other,6,6,28.3,1.8,5.2,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,10,10,78.5,3,52.9,2
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,7,5,19.6,2.1,10.6,1
OLTREFERSINA,Celtis australis,15,4,12.6,4.5,2.6,1
VILLAZZANO,Carpinus betulus,8,6,28.3,2.4,14.8,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,11,10,78.5,3.3,34.8,1
CENTRO STORICO PIEDICASTELLO,Other,9,6,28.3,2.7,26,1
VILLAZZANO,Other,1.9,0.4,0.1,0.6,8.699999999999999,2
S.GIUSEPPE-S.CHIARA,Other,5,4,12.6,1.5,3.9,1
S.GIUSEPPE-S.CHIARA,Celtis australis,16,4,12.6,4.8,4.3,1
BONDONE,Other,3,4,12.6,0.9,4.3,3
OLTREFERSINA,Other,21,14,153.9,6.3,50.1,1
S.GIUSEPPE-S.CHIARA,Other,9,5,19.6,2.7,28.8,1
GARDOLO,Other,5,5,19.6,1.5,4.4,2
OLTREFERSINA,Other,4,4,12.6,1.2,8.1,1
MEANO,Other,6,4,12.6,1.8,11.9,1
CENTRO STORICO PIEDICASTELLO,Other,13,10,78.5,3.9,14.4,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,6,3,7.1,1.8,11.9,1
GARDOLO,Other,6,6,28.3,1.8,1.3,1
OLTREFERSINA,Other,18,11,95,5.4,49.4,2
OLTREFERSINA,Other,6,6,28.3,1.8,10.8,1
S.GIUSEPPE-S.CHIARA,Other,3,2,3.1,0.9,6,1
S.GIUSEPPE-S.CHIARA,Other,5,6,28.3,1.5,6.4,2
OLTREFERSINA,Other,8,3,7.1,2.4,6.8,1
OLTREFERSINA,Platanus x hispanica,8,5,19.6,2.4,21.8,1
CENTRO STORICO PIEDICASTELLO,Other,3.5,2,3.1,1,2.4,1
CENTRO STORICO PIEDICASTELLO,Other,3.5,1,0.8,1,2.1,6
CENTRO STORICO PIEDICASTELLO,Other,4,4,12.6,1.2,11.6,3
GARDOLO,Platanus x hispanica,6,5,19.6,1.8,7.2,2
OLTREFERSINA,Other,8,4,12.6,2.4,5.6,2
CENTRO STORICO PIEDICASTELLO,Other,4,3,7.1,1.2,8.6,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,10.5,8,50.3,3.2,18.8,1
OLTREFERSINA,Celtis australis,9,7,38.5,2.7,3.2,5
OLTREFERSINA,Carpinus betulus,6,5,19.6,1.8,6.1,1
CENTRO STORICO PIEDICASTELLO,Other,17.2,8.4,55.4,5.2,23.1,2
MEANO,Other,5,2,3.1,1.5,4.4,1
OLTREFERSINA,Other,7,5,19.6,2.1,20.2,1
RAVINA-ROMAGNANO,Other,6,7,38.5,1.8,6.5,1
CENTRO STORICO PIEDICASTELLO,Other,9,8,50.3,2.7,21.9,1
VILLAZZANO,Other,6,3,7.1,1.8,8.9,1
S.GIUSEPPE-S.CHIARA,Other,6,6,28.3,1.8,5.7,1
ARGENTARIO,Other,7,4,12.6,2.1,5.9,4
OLTREFERSINA,Other,14,10,78.5,4.2,29.2,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,5,2,3.1,1.5,7.9,1
ARGENTARIO,Other,11,4,12.6,3.3,7.8,1
CENTRO STORICO PIEDICASTELLO,Other,21,6,28.3,6.3,53.2,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,9,6,28.3,2.7,46.7,1
OLTREFERSINA,Other,20,5,19.6,6,15.7,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,8,5,19.6,2.4,1.3,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,6,6,28.3,1.8,16.5,2
OLTREFERSINA,Aesculus hippocastanum,9,5,19.6,2.7,16.1,1
MATTARELLO,Celtis australis,4,5,19.6,1.2,3.2,1
S.GIUSEPPE-S.CHIARA,Other,12,8,50.3,3.6,10.9,2
GARDOLO,Other,4,1.5,1.8,1.2,2.2,1
CENTRO STORICO PIEDICASTELLO,Other,5,2,3.1,1.5,5.4,3
S.GIUSEPPE-S.CHIARA,Other,6,3.5,9.6,1.8,11.6,1
GARDOLO,Celtis australis,4,4,12.6,1.2,2,2
CENTRO STORICO PIEDICASTELLO,Other,4,4,12.6,1.2,10.4,1
CENTRO STORICO PIEDICASTELLO,Other,16,6,28.3,4.8,33.1,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,12,6,28.3,3.6,6.6,1
S.GIUSEPPE-S.CHIARA,Other,14,6,28.3,4.2,23,1
CENTRO STORICO PIEDICASTELLO,Other,7.5,7.5,44.2,2.3,23.3,1
OLTREFERSINA,Other,19,7,38.5,5.7,81.09999999999999,1
OLTREFERSINA,Other,10,6,28.3,3,22.9,1
CENTRO STORICO PIEDICASTELLO,Other,8,1.5,1.8,2.4,1.5,1
MEANO,Other,10,6,28.3,3,3,1
GARDOLO,Other,6,8,50.3,1.8,13.4,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,8,4,12.6,2.4,11,1
S.GIUSEPPE-S.CHIARA,Other,5,5,19.6,1.5,9.4,1
OLTREFERSINA,Other,12,5,19.6,3.6,21.6,1
S.GIUSEPPE-S.CHIARA,Other,4,3.5,9.6,1.2,10,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,3,1,0.8,0.9,3,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,14,10,78.5,4.2,66.3,1
CENTRO STORICO PIEDICASTELLO,Other,17,6,28.3,5.1,51.5,1
S.GIUSEPPE-S.CHIARA,Other,25,6,28.3,7.5,51.1,1
OLTREFERSINA,Celtis australis,6,12,113.1,1.8,4,2
CENTRO STORICO PIEDICASTELLO,Other,6,3,7.1,1.8,4.3,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,14,12,113.1,4.2,66.3,1
ARGENTARIO,Other,3,2,3.1,0.9,11.1,1
GARDOLO,Other,8,11,95,2.4,22.5,1
OLTREFERSINA,Other,4,2,3.1,1.2,3.3,1
POVO,Other,4,3,7.1,1.2,11,1
OLTREFERSINA,Other,4,4,12.6,1.2,4.6,1
S.GIUSEPPE-S.CHIARA,Other,7,4,12.6,2.1,9,5
S.GIUSEPPE-S.CHIARA,Other,6,3,7.1,1.8,2.3,3
MATTARELLO,Other,5,3,7.1,1.5,7.8,2
S.GIUSEPPE-S.CHIARA,Other,8,8,50.3,2.4,24,1
CENTRO STORICO PIEDICASTELLO,Other,13,6,28.3,3.9,21.3,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,12,10,78.5,3.6,58.2,1
GARDOLO,Celtis australis,4,4,12.6,1.2,1.8,2
GARDOLO,Tilia cordata,6,6,28.3,1.8,14.8,1
S.GIUSEPPE-S.CHIARA,Other,5.5,5,19.6,1.7,10.7,1
GARDOLO,Other,8,4,12.6,2.4,27,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,20,17,227,6,21.7,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,5.5,7,38.5,1.7,10.5,1
S.GIUSEPPE-S.CHIARA,Other,10,12,113.1,3,42.6,1
CENTRO STORICO PIEDICASTELLO,Other,8,4,12.6,2.4,6.7,1
CENTRO STORICO PIEDICASTELLO,Other,3.5,1,0.8,1,3,1
CENTRO STORICO PIEDICASTELLO,Other,6,2,3.1,1.8,5,1
CENTRO STORICO PIEDICASTELLO,Other,23,20,314.2,6.9,97.3,1
S.GIUSEPPE-S.CHIARA,Other,6,5,19.6,1.8,14.3,1
S.GIUSEPPE-S.CHIARA,Other,10,8,50.3,3,24.2,1
CENTRO STORICO PIEDICASTELLO,Other,11,4,12.6,3.3,21.5,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,3,2,3.1,0.9,6.7,5
S.GIUSEPPE-S.CHIARA,Other,8,6,28.3,2.4,12.7,2
CENTRO STORICO PIEDICASTELLO,Other,14,12,113.1,4.2,45.1,1
S.GIUSEPPE-S.CHIARA,Other,14,5,19.6,4.2,16.3,1
CENTRO STORICO PIEDICASTELLO,Other,5,6,28.3,1.5,8.800000000000001,1
POVO,Other,5,4,12.6,1.5,6.8,2
S.GIUSEPPE-S.CHIARA,Other,3.5,2,3.1,1,3.2,1
OLTREFERSINA,Celtis australis,6,5,19.6,1.8,3,2
OLTREFERSINA,Other,6,3,7.1,1.8,9.699999999999999,1
S.GIUSEPPE-S.CHIARA,Other,21,14,153.9,6.3,89.90000000000001,1
OLTREFERSINA,Celtis australis,9,5,19.6,2.7,2.6,1
OLTREFERSINA,Other,4,3,7.1,1.2,2.7,7
CENTRO STORICO PIEDICASTELLO,Celtis australis,15,12,113.1,4.5,5.1,3
S.GIUSEPPE-S.CHIARA,Other,11,6,28.3,3.3,9.699999999999999,1
S.GIUSEPPE-S.CHIARA,Other,15,12,113.1,4.5,51.7,4
OLTREFERSINA,Other,4.5,5,19.6,1.3,7.3,1
CENTRO STORICO PIEDICASTELLO,Other,7,5,19.6,2.1,16.2,1
GARDOLO,Other,6,4,12.6,1.8,1.9,3
S.GIUSEPPE-S.CHIARA,Other,4,2.5,4.9,1.2,3.3,1
S.GIUSEPPE-S.CHIARA,Other,1.7,2,3.1,0.5,19.8,1
S.GIUSEPPE-S.CHIARA,Other,12,8,50.3,3.6,31,1
S.GIUSEPPE-S.CHIARA,Other,12,8,50.3,3.6,97.5,1
CENTRO STORICO PIEDICASTELLO,Other,6,4,12.6,1.8,5.4,1
GARDOLO,Other,6,5,19.6,1.8,2.1,2
VILLAZZANO,Other,18,3,7.1,5.4,12.7,2
S.GIUSEPPE-S.CHIARA,Other,4,3.5,9.6,1.2,8.5,1
CENTRO STORICO PIEDICASTELLO,Other,4.8,2.4,4.6,1.4,6.8,1
OLTREFERSINA,Other,8,4.5,15.9,2.4,16.1,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,14,9,63.6,4.2,47.7,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,6,6,28.3,1.8,2.6,2
CENTRO STORICO PIEDICASTELLO,Other,14,6.5,33.2,4.2,21,1
CENTRO STORICO PIEDICASTELLO,Other,9,6,28.3,2.7,19.3,1
S.GIUSEPPE-S.CHIARA,Other,3,5.3,21.7,0.9,24.5,13
